iter	Passed	Remaining
436	1382	1780
437	1385	1777
438	1387	1773
439	1390	1769
440	1393	1766
441	1396	1763
442	1399	1759
443	1401	1755
444	1404	1751
445	1407	1748
446	1410	1745
447	1413	1741
448	1416	1737
449	1419	1734
450	1421	1730
451	1425	1728
452	1428	1724
453	1430	1720
454	1433	1717
455	1436	1713
456	1439	1710
457	1442	1707
458	1445	1703
459	1448	1700
460	1451	1696
461	1454	1693
462	1457	1690
463	1459	1686
464	1462	1682
465	1465	1679
466	1468	1675
467	1475	1677
468	1479	1675
469	1483	1672
470	1490	1673
471	1493	1671
472	1497	1667
473	1500	1665
474	1503	1661
475	1506	1658
476	1509	1654
477	1511	1650
478	1514	1646
479	1517	1643
480	1520	1640
481	1523	1636
482	1525	1632
483	1528	1629
484	1530	1625
485	1534	1622
486	1537	1619
487	1539	1615
488	1542	1611
489	1544	1608
490	1548	1604
491	1551	1601
492	1553	1598
493	1556	1594
494	1558	1590
495	1561	1586
496	1564	1583
497	1567	1579
498	1569	1575
499	1572	1572
500	1574	1568
501	1577	1564
502	1580	1561
503	1583	1558
504	1586	1554
505	1588	1551
506	1591	1547
507	1594	1544
508	1597	1540
509	1599	1537
510	1602	1533
511	1604	1529
512	1607	1525
513	1610	1522
514	1612	1519
515	1615	1515
516	1618	1511
517	1620	1508
518	1623	1504
519	1626	1501
520	1628	1497
521	1631	1494
522	1634	1490
523	1636	1486
524	1639	1483
525	1642	1479
526	1644	1476
527	1647	1472
528	1650	1469
529	1653	1465
530	1656	1462
531	1658	1459
532	1661	1455
533	1664	1452
534	1666	1448
535	1669	1444
536	1672	1441
537	1674	1438
538	1677	1434
539	1679	1431
540	1682	1427
541	1685	1424
542	1688	1420
543	1690	1417
544	1693	1413
545	1695	1410
546	1698	1406
547	1701	1403
548	1703	1399
549	1706	1396
550	1709	1392
551	1711	1389
552	1714	1385
553	1717	1382
554	1719	1378
555	1722	1375
556	1724	1371
557	1727	1368
558	1730	1364
559	1733	1361
560	1735	1358
561	1738	1355
562	1741	1351
563	1744	1348
564	1746	1344
565	1750	1341
566	1752	1338
567	1755	1334
568	1757	1331
569	1760	1327
570	1762	1324
571	1765	1321
572	1768	1317
573	1771	1314
574	1773	1310
575	1776	1307
576	1779	1304
577	1781	1300
578	1784	1297
579	1786	1293
580	1789	1290
581	1791	1287
582	1794	1283
583	1797	1280
584	1799	1276
585	1802	1273
586	1805	1270
587	1807	1266
588	1810	1263
589	1813	1260
590	1815	1256
591	1818	1253
592	1820	1249
593	1823	1246
594	1826	1242
595	1828	1239
596	1831	1236
597	1833	1232
598	1836	1229
599	1838	1225
600	1841	1222
601	1844	1219
602	1846	1215
603	1849	1212
604	1851	1209
605	1854	1205
606	1857	1202
607	1859	1199
608	1862	1196
609	1865	1192
610	1868	1189
611	1870	1185
612	1873	1182
613	1876	1179
614	1878	1176
615	1881	1172
616	1883	1169
617	1886	1165
618	1888	1162
619	1891	1159
620	1894	1155
621	1896	1152
622	1899	1149
623	1901	1145
624	1904	1142
625	1906	1139
626	1909	1135
627	1912	1132
628	1914	1129
629	1917	1125
630	1920	1122
631	1922	1119
632	1925	1116
633	1928	1113
634	1930	1109
635	1933	1106
636	1936	1103
637	1938	1100
638	1941	1096
639	1943	1093
640	1946	1090
641	1948	1086
642	1951	1083
643	1954	1080
644	1957	1077
645	1959	1073
646	1962	1070
647	1964	1067
648	1967	1064
649	1970	1061
650	1972	1057
651	1975	1054
652	1977	1051
653	1980	1047
654	1983	1044
655	1986	1041
656	1988	1038
657	1991	1034
658	1993	1031
659	1996	1028
660	1998	1025
661	2001	1021
662	2003	1018
663	2006	1015
664	2009	1012
665	2011	1008
666	2014	1005
667	2017	1002
668	2019	999
669	2022	996
670	2025	992
671	2027	989
672	2030	986
673	2032	983
674	2035	979
675	2037	976
676	2040	973
677	2042	970
678	2045	967
679	2048	963
680	2050	960
681	2053	957
682	2055	954
683	2058	950
684	2060	947
685	2063	944
686	2065	941
687	2068	938
688	2071	934
689	2073	931
690	2076	928
691	2079	925
692	2081	922
693	2084	919
694	2087	915
695	2089	912
696	2092	909
697	2095	906
698	2097	903
699	2100	900
700	2102	896
701	2105	893
702	2107	890
703	2110	887
704	2112	884
705	2115	880
706	2117	877
707	2120	874
708	2123	871
709	2125	868
710	2128	865
711	2134	863
712	2138	860
713	2143	858
714	2146	855
715	2150	853
716	2153	850
717	2157	847
718	2160	844
719	2162	841
720	2165	837
721	2168	834
722	2170	831
723	2173	828
724	2176	825
725	2178	822
726	2181	819
727	2183	815
728	2186	812
729	2188	809
730	2191	806
731	2193	803
732	2196	800
733	2198	796
734	2201	793
735	2204	790
736	2206	787
737	2209	784
738	2211	781
739	2214	778
740	2217	774
741	2219	771
742	2222	768
743	2224	765
744	2227	762
745	2229	759
746	2233	756
747	2235	753
748	2238	750
749	2240	746
750	2243	743
751	2245	740
752	2248	737
753	2251	734
754	2253	731
755	2256	728
756	2258	725
757	2261	722
758	2264	718
759	2266	715
760	2269	712
761	2271	709
762	2274	706
763	2277	703
764	2279	700
765	2282	697
766	2284	694
767	2287	690
768	2289	687
769	2292	684
770	2295	681
771	2297	678
772	2300	675
773	2302	672
774	2305	669
775	2308	666
776	2310	663
777	2313	660
778	2315	656
779	2317	653
780	2320	650
781	2323	647
782	2326	644
783	2328	641
784	2331	638
785	2333	635
786	2336	632
787	2338	629
788	2341	626
789	2344	623
790	2346	620
791	2348	616
792	2351	613
793	2354	610
794	2357	607
795	2359	604
796	2362	601
797	2364	598
798	2367	595
799	2370	592
800	2372	589
801	2375	586
802	2377	583
803	2380	580
804	2382	577
805	2385	574
806	2387	571
807	2390	568
808	2392	564
809	2395	561
810	2397	558
811	2400	555
812	2403	552
813	2405	549
814	2408	546
815	2410	543
816	2413	540
817	2415	537
818	2418	534
819	2420	531
820	2423	528
821	2425	525
822	2428	522
823	2430	519
824	2433	516
825	2436	513
826	2438	510
827	2441	507
828	2443	504
829	2446	501
830	2449	498
831	2451	495
832	2454	491
833	2456	488
834	2459	485
835	2461	482
836	2464	479
837	2466	476
838	2469	473
839	2471	470
840	2474	467
841	2476	464
842	2479	461
843	2481	458
844	2484	455
845	2486	452
846	2489	449
847	2491	446
848	2494	443
849	2496	440
850	2499	437
851	2502	434
852	2504	431
853	2507	428
854	2509	425
855	2512	422
856	2514	419
857	2517	416
858	2519	413
859	2522	410
860	2524	407
861	2527	404
862	2530	401
863	2532	398
864	2535	395
865	2537	392
866	2539	389
867	2542	386
868	2545	383
869	2547	380
870	2550	377
871	2552	374
872	2555	371
873	2557	368
874	2560	365
875	2562	362
876	2565	359
877	2568	356
878	2570	353
879	2573	350
880	2575	347
881	2578	344
882	2580	341
883	2583	338
884	2585	335
885	2588	333
886	2590	330
887	2593	327
888	2596	324
889	2598	321
890	2600	318
891	2603	315
892	2606	312
893	2609	309
894	2611	306
895	2613	303
896	2616	300
897	2618	297
898	2621	294
899	2623	291
900	2626	288
901	2628	285
902	2631	282
903	2634	279
904	2636	276
905	2639	273
906	2641	270
907	2644	267
908	2646	264
909	2649	262
910	2652	259
911	2654	256
912	2657	253
913	2659	250
914	2662	247
915	2664	244
916	2667	241
917	2669	238
918	2672	235
919	2674	232
920	2677	229
921	2679	226
922	2682	223
923	2685	220
924	2687	217
925	2689	214
926	2692	212
927	2695	209
928	2698	206
929	2700	203
930	2703	200
931	2705	197
932	2708	194
933	2711	191
934	2714	188
935	2717	185
936	2719	182
937	2722	179
938	2725	177
939	2727	174
940	2730	171
941	2733	168
942	2736	165
943	2739	162
944	2741	159
945	2744	156
946	2746	153
947	2749	150
948	2752	147
949	2754	144
950	2757	142
951	2759	139
952	2762	136
953	2764	133
954	2767	130
955	2769	127
956	2772	124
957	2774	121
958	2777	118
959	2779	115
960	2782	112
961	2785	110
962	2788	107
963	2790	104
964	2793	101
965	2795	98
966	2798	95
967	2800	92
968	2803	89
969	2805	86
970	2810	83
971	2814	81
972	2818	78
973	2822	75
974	2825	72
975	2828	69
976	2831	66
977	2834	63
978	2837	60
979	2840	57
980	2842	55
981	2845	52
982	2848	49
983	2851	46
984	2853	43
985	2856	40
986	2858	37
987	2861	34
988	2864	31
989	2866	28
990	2869	26
991	2871	23
992	2874	20
993	2876	17
994	2879	14
995	2882	11
996	2885	8
997	2887	5
998	2890	2
999	2892	0
