iter	Logloss
0	0.6814741702
1	0.6700101596
2	0.6586629631
3	0.648126406
4	0.6388966648
5	0.6300264651
6	0.621290384
7	0.6127405759
8	0.6062126349
9	0.5991255814
10	0.5914725751
11	0.5852445892
12	0.579849434
13	0.5746648429
14	0.5697215529
15	0.564081523
16	0.5592352805
17	0.5548200394
18	0.5505432533
19	0.5459565754
20	0.5425176278
21	0.5381900439
22	0.5348470479
23	0.5306377358
24	0.5273827688
25	0.5242398268
26	0.5212984439
27	0.5180866674
28	0.5149861385
29	0.5125692452
30	0.5095041371
31	0.5069794085
32	0.5049868172
33	0.5025710559
34	0.5002647808
35	0.4982431614
36	0.4960482848
37	0.4940587692
38	0.4922173158
39	0.4902523677
40	0.4878285795
41	0.4855872619
42	0.4835771619
43	0.4823328576
44	0.4806920103
45	0.4792370695
46	0.4772465423
47	0.4760059538
48	0.4747342082
49	0.4733849717
50	0.4720884392
51	0.4704650642
52	0.4692724794
53	0.4682499678
54	0.4667733236
55	0.4656647928
56	0.4646635356
57	0.463542505
58	0.4624961037
59	0.4612137285
60	0.4602964287
61	0.4590097874
62	0.4578137828
63	0.4567370051
64	0.4558222526
65	0.4550846902
66	0.4541798733
67	0.4534536674
68	0.4525314638
69	0.4518528056
70	0.4511114008
71	0.4502143883
72	0.4493680437
73	0.4485885949
74	0.4478434357
75	0.4470375401
76	0.4465349498
77	0.4457835075
78	0.4451112286
79	0.44440257
80	0.4437485725
81	0.4431834752
82	0.4427137139
83	0.4421218027
84	0.4416900045
85	0.4410270731
86	0.4405790411
87	0.4400022554
88	0.4393717101
89	0.4390370179
90	0.4386506381
91	0.4380803165
92	0.4375064776
93	0.4369174592
94	0.4364151016
95	0.435914208
96	0.435436909
97	0.4349944227
98	0.434522348
99	0.4342232938
100	0.4337003426
101	0.4332762117
102	0.4329814266
103	0.4325054526
104	0.4320853781
105	0.4316406005
106	0.4312669317
107	0.4308274371
108	0.4304438456
109	0.4300109252
110	0.429508525
111	0.4289983766
112	0.4286662085
113	0.4282705514
114	0.4279798105
115	0.4276318393
116	0.4271990843
117	0.4267732716
118	0.4264998785
119	0.4259605307
120	0.4256365218
121	0.4253774207
122	0.424983105
123	0.4246680288
124	0.4242030122
125	0.4239676483
126	0.4238112676
127	0.4234491671
128	0.4230822149
129	0.4225631942
130	0.4222930045
131	0.4219609349
132	0.4216473948
133	0.4211828411
134	0.4209237811
135	0.4206060001
136	0.4200520786
137	0.4197651371
138	0.4194712138
139	0.4193018356
140	0.4189732128
141	0.4186979328
142	0.4183803107
143	0.4182164923
144	0.4180570722
145	0.4174621893
146	0.4170131578
147	0.4168379246
148	0.4165388783
149	0.4163833463
